Interval,25.0000,usec
pin0
351
348
348
348
348
349
344
348
351
345
345
350
350
350
348
350
352
350
345
351
352
345
348
349
352
348
346
352
353
344
350
355
352
348
351
352
352
345
350
355
352
345
350
353
352
345
348
355
352
345
352
355
352
348
352
356
353
347
350
357
352
348
353
353
352
347
352
356
349
349
358
355
351
352
353
358
350
348
359
355
348
352
357
356
351
352
359
356
350
354
356
355
348
353
359
355
350
355
358
355
347
355
359
352
350
356
359
352
347
358
359
348
350
356
359
348
350
358
359
350
352
356
359
348
349
358
358
350
352
358
359
350
348
359
356
350
350
359
358
351
352
361
356
348
355
356
355
353
352
361
359
352
355
358
359
354
354
359
358
355
356
361
358
354
359
359
355
355
358
359
358
355
365
358
355
362
361
359
359
359
361
359
352
359
364
356
357
364
364
356
353
363
363
353
355
363
362
355
355
364
365
355
353
364
368
350
355
369
364
355
354
365
369
352
355
370
364
355
356
366
368
352
359
369
364
355
359
368
364
356
363
369
364
358
359
370
364
355
364
368
363
359
364
371
365
358
366
370
361
359
368
370
363
359
370
369
359
364
369
368
359
364
371
367
359
364
371
366
355
366
372
367
359
364
374
365
354
366
372
363
358
364
374
367
355
367
380
360
358
371
371
361
358
370
377
359
359
372
372
363
361
371
374
364
359
376
375
359
365
374
371
364
361
371
375
360
361
376
372
359
368
376
374
361
365
377
369
359
369
376
368
365
366
376
368
361
371
375
364
361
369
375
364
364
371
374
368
359
371
377
364
364
371
373
368
359
372
380
364
363
374
373
366
364
374
376
364
365
377
371
364
369
375
371
368
369
376
376
364
371
378
372
368
374
376
374
368
373
382
371
369
380
376
376
374
372
384
371
368
384
376
370
374
378
379
369
369
384
376
368
376
384
374
371
376
382
376
369
376
384
374
368
378
382
374
371
375
382
376
368
376
384
372
370
376
382
376
371
380
383
372
371
380
381
375
374
379
380
375
371
380
380
371
375
384
377
377
377
376
382
374
375
384
376
376
379
378
380
376
375
384
379
372
382
384
376
377
380
379
379
376
379
384
376
377
385
376
377
382
380
384
376
380
387
376
376
385
384
381
380
377
387
381
374
384
387
380
379
382
388
381
376
383
388
380
377
385
385
380
377
382
387
379
376
387
386
376
382
387
384
382
379
387
386
376
382
387
384
382
380
385
387
379
382
387
385
381
382
385
384
382
382
388
384
380
384
387
380
384
385
387
382
384
385
387
380
384
389
384
382
384
388
387
380
380
391
383
380
386
391
384
382
383
391
385
380
384
393
384
377
387
391
387
380
385
396
385
376
391
391
384
380
387
396
385
377
391
395
384
380
391
393
385
383
389
396
384
382
391
391
385
387
388
396
391
384
396
395
384
390
393
389
390
387
391
395
384
391
398
390
389
395
391
391
390
391
393
388
388
395
391
386
392
395
391
390
390
393
395
385
390
398
390
389
391
396
393
387
391
399
391
385
391
397
393
384
391
399
390
386
393
397
393
387
393
398
391
385
394
398
391
387
396
400
390
387
399
399
392
388
397
399
391
388
398
401
391
387
400
399
390
393
401
398
391
393
399
399
390
393
404
398
390
398
401
398
391
396
403
396
390
399
403
393
396
399
404
396
391
401
406
395
396
404
403
396
396
403
403
396
395
404
403
395
398
406
401
393
398
406
403
391
398
406
399
392
399
403
403
393
396
408
399
389
401
409
396
396
398
406
403
390
402
409
395
396
402
405
401
391
400
409
393
391
406
404
398
395
401
409
398
391
406
405
396
396
403
407
397
391
408
406
393
399
403
404
399
396
408
409
393
400
408
403
398
399
404
407
396
399
409
403
399
403
408
408
399
403
411
403
403
403
406
406
399
403
408
402
401
406
406
406
402
406
412
403
403
408
404
403
404
406
408
406
401
409
408
404
408
408
410
408
403
412
412
401
408
408
408
407
406
409
412
401
408
410
406
408
408
409
413
403
408
412
407
408
408
408
409
403
407
412
408
407
408
409
410
404
406
415
408
403
409
411
407
406
407
412
408
406
